"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-08-21,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-08-21,,,,
Name of FF Member/OSBP,336368,36254,Name of FF Member/OSBP,539420,-2971,Name of FF Member/OSBP,530553,-3111,,,
Name of Non-FF Member/OSNBP,2668,-566,Name of Non-FF Member/OSNBP,2224,75,Name of Non-FF Member/OSNBP,11091,215,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2609,,,,,,,,,,2026-08-21,
1,0163(brokerage business),20405,1556,1,0004(brokerage business),18065,-2485,1,0049(brokerage business),13657,-463
2,0148(brokerage business),15969,-1327,2,0148(brokerage business),16663,-1919,2,0148(brokerage business),12373,-2298
3,0004(brokerage business),11700,3264,3,0049(brokerage business),12139,929,3,0163(brokerage business),7216,-1302
4,0049(brokerage business),7704,2486,4,0163(brokerage business),7067,-128,4,0004(brokerage business),6773,-235
5,0272(brokerage business),5797,1727,5,0272(brokerage business),5545,-191,5,0009(brokerage business),5489,-220
6,0308(brokerage business),4698,932,6,0139(brokerage business),5440,3,6,0321(brokerage business),4791,-207
7,0096(brokerage business),4444,50,7,0103(brokerage business),4923,-676,7,0253(brokerage business),4250,-304
8,0253(brokerage business),4003,1254,8,0025(brokerage business),4252,-299,8,0272(brokerage business),4127,-527
9,0275(brokerage business),3347,-2168,9,0077(brokerage business),3355,-296,9,0139(brokerage business),3875,-104
10,0009(brokerage business),3281,564,10,0253(brokerage business),3270,-269,10,0003(brokerage business),3690,-240
11,0095(brokerage business),2826,305,11,0240(brokerage business),3003,-372,11,0169(brokerage business),3390,-117
12,0268(brokerage business),2773,330,12,0009(brokerage business),2498,473,12,0058(brokerage business),3308,-428
13,0240(brokerage business),2206,343,13,0082(brokerage business),2498,78,13,0034(brokerage business),3159,-136
14,0081(brokerage business),2146,-224,14,0321(brokerage business),2240,-624,14,0315(brokerage business),3092,-169
15,0042(brokerage business),2139,7,15,0003(brokerage business),2210,-52,15,0240(brokerage business),3049,-90
16,0043(brokerage business),2105,567,16,0042(brokerage business),2034,-409,16,0096(brokerage business),2920,106
17,0082(brokerage business),2055,768,17,0335(brokerage business),1905,-588,17,0042(brokerage business),2842,-106
18,0034(brokerage business),2048,35,18,0125(brokerage business),1823,39,18,0082(brokerage business),2782,-874
19,0069(brokerage business),1982,696,19,0161(brokerage business),1743,-107,19,0138(brokerage business),2165,-15
20,0123(brokerage business),1890,372,20,0007(brokerage business),1709,-21,20,0018(brokerage business),2105,-184
Total,,103518,11537,Total,,102382,-6914,Total,,95053,-7913
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2610,,,,,,,,,,2026-08-21,
1,0163(brokerage business),17618,2756,1,0148(brokerage business),32260,2519,1,0148(brokerage business),16992,791
2,0148(brokerage business),14616,358,2,0004(brokerage business),18342,2441,2,0004(brokerage business),15387,180
3,0004(brokerage business),14385,3334,3,0272(brokerage business),9027,-321,3,0049(brokerage business),11299,842
4,0308(brokerage business),5385,1652,4,0103(brokerage business),7926,173,4,0139(brokerage business),10965,589
5,0275(brokerage business),4173,272,5,0163(brokerage business),6820,1191,5,0163(brokerage business),9690,72
6,0253(brokerage business),3576,1004,6,0239(brokerage business),4835,-786,6,0009(brokerage business),8520,40
7,0272(brokerage business),3414,1108,7,0268(brokerage business),4456,724,7,0042(brokerage business),6270,-147
8,0049(brokerage business),2956,1154,8,0335(brokerage business),4112,496,8,0082(brokerage business),5683,250
9,0259(brokerage business),2824,1773,9,0049(brokerage business),3747,-27,9,0315(brokerage business),4660,6
10,0096(brokerage business),2515,579,10,0253(brokerage business),3458,485,10,0272(brokerage business),4411,579
