Placeholder,CMD,Contract,Date,Metric,Level,Change
1,cu,2609,8/21/2026,Volume,103518,11537
1,cu,2610,8/21/2026,Volume,88973,14694
1,cu,2611,8/21/2026,Volume,21602,3770
1,cu,2612,8/21/2026,Volume,11110,447
1,cu,2701,8/21/2026,Volume,4889,1222
1,cu,2703,8/21/2026,Volume,2798,-173
1,bc,2609,8/21/2026,Volume,13956,-1261
1,al,2609,8/21/2026,Volume,102087,-12589
1,al,2610,8/21/2026,Volume,261208,18092
1,al,2611,8/21/2026,Volume,56259,-6822
1,al,2612,8/21/2026,Volume,17456,-3536
1,al,2701,8/21/2026,Volume,14064,4568
1,zn,2609,8/21/2026,Volume,68570,-134
1,zn,2610,8/21/2026,Volume,259622,48593
1,zn,2611,8/21/2026,Volume,55044,12494
1,pb,2609,8/21/2026,Volume,44621,17468
1,pb,2610,8/21/2026,Volume,142975,54755
1,pb,2611,8/21/2026,Volume,19926,6992
1,ni,2609,8/21/2026,Volume,174644,-110059
1,ni,2610,8/21/2026,Volume,142924,-21610
1,ni,2611,8/21/2026,Volume,35258,-5392
1,ni,2612,8/21/2026,Volume,14703,2356
1,sn,2609,8/21/2026,Volume,164536,-19978
1,sn,2610,8/21/2026,Volume,89344,-398
1,sn,2611,8/21/2026,Volume,18179,-4472
1,ao,2609,8/21/2026,Volume,48776,5172
1,ao,2610,8/21/2026,Volume,334123,24883
1,ao,2611,8/21/2026,Volume,27948,1066
1,ao,2701,8/21/2026,Volume,45421,11089
1,ad,2609,8/21/2026,Volume,2580,1024
1,ad,2610,8/21/2026,Volume,11674,-269
1,au,2610,8/21/2026,Volume,507306,-38554
1,au,2612,8/21/2026,Volume,97368,-10063
1,au,2702,8/21/2026,Volume,33999,-923
1,ag,2610,8/21/2026,Volume,1029491,9285
1,ag,2612,8/21/2026,Volume,174629,-6139
1,ag,2702,8/21/2026,Volume,274225,1888
1,rb,2609,8/21/2026,Volume,11836,-11697
1,rb,2610,8/21/2026,Volume,1214452,-106196
1,rb,2611,8/21/2026,Volume,57314,-6634
1,rb,2701,8/21/2026,Volume,516563,56167
1,rb,2703,8/21/2026,Volume,26350,-11051
1,hc,2609,8/21/2026,Volume,4528,-1897
1,hc,2610,8/21/2026,Volume,445083,720
1,hc,2611,8/21/2026,Volume,76192,7186
1,hc,2701,8/21/2026,Volume,223900,-1651
1,ss,2609,8/21/2026,Volume,8730,-7424
1,ss,2610,8/21/2026,Volume,312915,-10269
1,lu,2609,8/21/2026,Volume,4031,446
1,lu,2610,8/21/2026,Volume,165604,-30751
1,lu,2611,8/21/2026,Volume,81745,23286
1,fu,2609,8/21/2026,Volume,314465,-392467
1,fu,2610,8/21/2026,Volume,167797,-29254
1,fu,2611,8/21/2026,Volume,972002,153379
1,fu,2701,8/21/2026,Volume,87121,-15988
1,bu,2609,8/21/2026,Volume,198186,30293
1,bu,2610,8/21/2026,Volume,719093,109941
1,bu,2611,8/21/2026,Volume,137011,57787
1,bu,2612,8/21/2026,Volume,101451,15236
1,br,2609,8/21/2026,Volume,56292,-36159
1,br,2610,8/21/2026,Volume,331288,-70213
1,ru,2609,8/21/2026,Volume,71932,3385
1,ru,2701,8/21/2026,Volume,396687,17575
1,ru,2705,8/21/2026,Volume,14483,-477
1,nr,2609,8/21/2026,Volume,4478,-700
1,nr,2610,8/21/2026,Volume,104824,-1202
1,nr,2611,8/21/2026,Volume,55982,2523
1,nr,2612,8/21/2026,Volume,32570,14301
1,nr,2701,8/21/2026,Volume,14656,3548
1,sp,2609,8/21/2026,Volume,83897,33046
1,sp,2611,8/21/2026,Volume,843603,293435
1,sp,2701,8/21/2026,Volume,180120,111434
1,op,2609,8/21/2026,Volume,4808,930
1,op,2610,8/21/2026,Volume,15647,5075
1,cu,2609,8/21/2026,Long Position,102382,-6914
1,cu,2610,8/21/2026,Long Position,120013,7778
1,cu,2611,8/21/2026,Long Position,44023,1077
1,cu,2612,8/21/2026,Long Position,44796,273
1,cu,2701,8/21/2026,Long Position,23309,527
1,cu,2703,8/21/2026,Long Position,16014,596
1,bc,2609,8/21/2026,Long Position,10110,-441
1,al,2609,8/21/2026,Long Position,86489,-7556
1,al,2610,8/21/2026,Long Position,178719,-5514
1,al,2611,8/21/2026,Long Position,74049,1468
1,al,2612,8/21/2026,Long Position,46881,1110
1,al,2701,8/21/2026,Long Position,30203,-294
1,zn,2609,8/21/2026,Long Position,40314,-265
1,zn,2610,8/21/2026,Long Position,104131,3061
1,zn,2611,8/21/2026,Long Position,39581,4634
1,pb,2609,8/21/2026,Long Position,14700,-4193
1,pb,2610,8/21/2026,Long Position,58083,-2122
1,pb,2611,8/21/2026,Long Position,17411,2220
1,ni,2609,8/21/2026,Long Position,56993,-2995
1,ni,2610,8/21/2026,Long Position,81245,-434
1,ni,2611,8/21/2026,Long Position,48327,2639
1,ni,2612,8/21/2026,Long Position,25894,2859
1,sn,2609,8/21/2026,Long Position,18915,-739
1,sn,2610,8/21/2026,Long Position,26137,3335
1,sn,2611,8/21/2026,Long Position,10751,797
1,ao,2609,8/21/2026,Long Position,41977,-6875
1,ao,2610,8/21/2026,Long Position,196198,-9677
1,ao,2611,8/21/2026,Long Position,56933,-2362
1,ao,2701,8/21/2026,Long Position,55568,611
1,ad,2609,8/21/2026,Long Position,3926,-193
1,ad,2610,8/21/2026,Long Position,17074,-244
1,au,2610,8/21/2026,Long Position,136249,2173
1,au,2612,8/21/2026,Long Position,78166,4460
1,au,2702,8/21/2026,Long Position,10905,1925
1,ag,2610,8/21/2026,Long Position,184617,3022
1,ag,2612,8/21/2026,Long Position,99174,2613
1,ag,2702,8/21/2026,Long Position,25335,1914
1,rb,2609,8/21/2026,Long Position,15779,-488
1,rb,2610,8/21/2026,Long Position,1040902,-94775
1,rb,2611,8/21/2026,Long Position,330610,-826
1,rb,2701,8/21/2026,Long Position,618918,44321
1,rb,2703,8/21/2026,Long Position,117774,4972
1,hc,2609,8/21/2026,Long Position,9604,229
1,hc,2610,8/21/2026,Long Position,781069,-27166
1,hc,2611,8/21/2026,Long Position,357394,705
1,hc,2701,8/21/2026,Long Position,451130,47897
1,ss,2609,8/21/2026,Long Position,11567,-466
1,ss,2610,8/21/2026,Long Position,83335,7296
1,lu,2609,8/21/2026,Long Position,4191,-1034
1,lu,2610,8/21/2026,Long Position,52221,494
1,lu,2611,8/21/2026,Long Position,44088,1245
1,fu,2609,8/21/2026,Long Position,40005,-9296
1,fu,2610,8/21/2026,Long Position,46957,2343
1,fu,2611,8/21/2026,Long Position,190365,11821
1,fu,2701,8/21/2026,Long Position,63824,445
1,bu,2609,8/21/2026,Long Position,42848,-13532
1,bu,2610,8/21/2026,Long Position,243505,-5072
1,bu,2611,8/21/2026,Long Position,97809,8430
1,bu,2612,8/21/2026,Long Position,81194,6516
1,br,2609,8/21/2026,Long Position,11504,-795
1,br,2610,8/21/2026,Long Position,84572,-2592
1,ru,2609,8/21/2026,Long Position,17638,-471
1,ru,2701,8/21/2026,Long Position,79905,2464
1,ru,2705,8/21/2026,Long Position,8596,27
1,nr,2609,8/21/2026,Long Position,3060,-462
1,nr,2610,8/21/2026,Long Position,40127,-335
1,nr,2611,8/21/2026,Long Position,31394,1312
1,nr,2612,8/21/2026,Long Position,24711,2384
1,nr,2701,8/21/2026,Long Position,18628,-58
1,sp,2609,8/21/2026,Long Position,28874,-4329
1,sp,2611,8/21/2026,Long Position,164111,-3190
1,sp,2701,8/21/2026,Long Position,74628,-881
1,op,2609,8/21/2026,Long Position,4662,-154
1,op,2610,8/21/2026,Long Position,18458,-102
1,cu,2609,8/21/2026,Short Position,95053,-7913
1,cu,2610,8/21/2026,Short Position,126223,4406
1,cu,2611,8/21/2026,Short Position,47981,-45
1,cu,2612,8/21/2026,Short Position,57302,1139
1,cu,2701,8/21/2026,Short Position,28760,210
1,cu,2703,8/21/2026,Short Position,18619,161
1,bc,2609,8/21/2026,Short Position,10561,-593
1,al,2609,8/21/2026,Short Position,84831,-6168
1,al,2610,8/21/2026,Short Position,195837,-1638
1,al,2611,8/21/2026,Short Position,79611,1065
1,al,2612,8/21/2026,Short Position,52704,605
1,al,2701,8/21/2026,Short Position,28984,164
1,zn,2609,8/21/2026,Short Position,36398,-676
1,zn,2610,8/21/2026,Short Position,92240,-1643
1,zn,2611,8/21/2026,Short Position,29097,2198
1,pb,2609,8/21/2026,Short Position,15062,-2719
1,pb,2610,8/21/2026,Short Position,58690,-2090
1,pb,2611,8/21/2026,Short Position,16723,4038
1,ni,2609,8/21/2026,Short Position,69279,-4935
1,ni,2610,8/21/2026,Short Position,91850,1093
1,ni,2611,8/21/2026,Short Position,52126,2854
1,ni,2612,8/21/2026,Short Position,29393,2757
1,sn,2609,8/21/2026,Short Position,20947,-652
1,sn,2610,8/21/2026,Short Position,25360,3466
1,sn,2611,8/21/2026,Short Position,10861,909
1,ao,2609,8/21/2026,Short Position,49321,-7548
1,ao,2610,8/21/2026,Short Position,207604,-20164
1,ao,2611,8/21/2026,Short Position,56905,-1681
1,ao,2701,8/21/2026,Short Position,65236,1162
1,ad,2609,8/21/2026,Short Position,3866,-22
1,ad,2610,8/21/2026,Short Position,16823,-106
1,au,2610,8/21/2026,Short Position,39843,1754
1,au,2612,8/21/2026,Short Position,13521,176
1,au,2702,8/21/2026,Short Position,1944,792
1,ag,2610,8/21/2026,Short Position,160289,3892
1,ag,2612,8/21/2026,Short Position,74117,2169
1,ag,2702,8/21/2026,Short Position,23692,929
1,rb,2609,8/21/2026,Short Position,16000,-638
1,rb,2610,8/21/2026,Short Position,1214270,-98072
1,rb,2611,8/21/2026,Short Position,340601,-751
1,rb,2701,8/21/2026,Short Position,555036,21117
1,rb,2703,8/21/2026,Short Position,117969,5186
